i,company_name,job_title
0,QuantCo,Software Enginer
1,QuantCo,Machine Learning Engineer
2,QuantCo,Developer Productivity Engineer
3,Auth0,Developer Advocate
4,Octopus Energy,Backend Developer (m/w/d)
5,Octopus Energy,App Developer (m/w/d)
6,Octopus Energy,Frontend Developer - JavaScript/React (m/w/d) 
7,Mobile.de,Data Literacy Manager (d/f/m)
8,Mobile.de,(Senior) Product Analyst (d/f/m)
9,Mobile.de,(Senior) Business Intelligence Analyst – Tracking Specialist (d/f/m)
10,Klarna,Senior Software Engineer - DevOps
11,Klarna,Engineering Manager
12,Klarna,Data Engineer
13,Rosen,Data Scientist (all genders welcome) 
14,Blue Yonder,Senior Machine Learning Engineer
15,Blue Yonder,Senior Full Stack Developer
16,Blue Yonder,Senior Data Engineer
17,Rosen,Scientist (m/w/d) für Modern Software Engineering 
18,Rosen,Technology Manager Computer Science (all genders welcome)
19,ZEISS,Software Developer (m/w/x)
20,ZEISS,Software Project Manager / Product Owner for Retina Robotics (m/w/x)
21,ZEISS,Software Experte (m/w/x)
22,SENEC,Data Architect (m/f/x) Data & Analytics Platform
23,DB Systel GmbH,MLOps Engineer:in
24,DB Systel GmbH,Specialist Software Engineer (w/m/d)
25,Deutsche Post AG,Senior MLOps Engineer
26,Deutsche Post AG,Cloud DevOps Engineer
27,Deutsche Post AG,Software Engineer for K8s-Native and Data-Intensive Applications
28,Octopus Energy,Frontend Developer - React/Typescript (m/w/d) 
29,Honeypot,Senior Full Stack Architect
30,Honeypot,"Tech Lead Backend (Python, AWS)"
31,Honeypot,Senior Data Engineer (m/f/d)
32,SENEC,IT Integration/Solution Architect (m/w/d)
33,SENEC,DevOps Engineer (m/f/x)
34,Flix,Data Engineer (m/f/d) - Network Planning
35,Flix,Data Engineer (m/f/d) - Customer Service
36,Flix,Data Engineer (m/f/d) - Revenue Management
37,Rapid,Staff Full Stack Software Engineer
38,alcemy GmbH,Junior Data Analyst / Engineer / Scientist
39,Königsweg GmbH,Data Engineer
40,Königsweg GmbH,MLOps Engineer
41,Königsweg GmbH,Python Backend Engineer
42,Königsweg GmbH,Working Student - Data Science and Python
